source_file,line,question,kg,representation,prompt_type,temperature_label,num_bridges,expected,got,exact_match,partial_match,complete_mismatch,precision_retrieval_rate,incorrect_fdr_rate,recall_hit_rate,miss_rate,f1_score
kgmulsel_temp0_nen_axiom_ttl.jsonl,12,"Which learning paths recommend media resources authored by people who also submitted scholarly publications in matching fields of study, including department, university, and publication-type details?","core_scholar_rich, currkg",axiom,cot,temp0.0,2,"core_scholar_rich, currkg","core_scholar_rich, currkg",1,0,0,1.0,0.0,1.0,0.0,1.0
kgmulsel_temp0_nen_axiom_ttl.jsonl,13,What hazard types are represented by topics covered in learning paths or media resources?,"currkg, kwg",ttl,0_shot,temp0.0,2,"currkg, kwg","currkg, kwg",1,0,0,1.0,0.0,1.0,0.0,1.0
kgmulsel_temp0_nen_axiom_ttl.jsonl,14,"What research topics or fields of study correspond to cruises, samples, datasets, or expeditions?","core_scholar_rich, gmo",axiom,cot,temp0.0,2,"core_scholar_rich, gmo","core_scholar_rich, gmo",1,0,0,1.0,0.0,1.0,0.0,1.0
kgmulsel_temp0_nen_axiom_ttl.jsonl,15,"Which authors, departments, universities, cruise participants, vessels, organizations, samples, hazard events, places, and time periods are connected through marine research in hazard-affected regions?","core_scholar_rich, gmo, kwg",axiom,0_shot,temp0.0,3,"core_scholar_rich, gmo, kwg","core_scholar_rich, gmo, kwg",1,0,0,1.0,0.0,1.0,0.0,1.0
kgmulsel_temp0_nen_axiom_ttl.jsonl,16,Which learning paths include modules about topics represented in publications by people or organizations involved in cruises?,"core_scholar_rich, currkg, gmo",axiom,cot,temp0.0,3,"core_scholar_rich, currkg, gmo","core_scholar_rich, currkg, gmo",1,0,0,1.0,0.0,1.0,0.0,1.0
kgmulsel_temp0_nen_axiom_ttl.jsonl,17,Which scholarly publications study places or periods where enslaved individuals are recorded and where hazard events also occurred?,"core_scholar_rich, enslaved, kwg",axiom,0_shot,temp0.0,3,"core_scholar_rich, enslaved, kwg","enslaved, kwg",0,1,0,1.0,0.0,0.6667,0.3333,0.8
kgmulsel_temp0_nen_axiom_ttl.jsonl,18,Which cruise participants or sponsoring organizations are linked to publications about fields of study associated with hazard-affected regions?,"core_scholar_rich, gmo, kwg",nen,0_shot,temp0.0,3,"core_scholar_rich, gmo, kwg","core_scholar_rich, gmo, kwg",1,0,0,1.0,0.0,1.0,0.0,1.0
kgmulsel_temp0_nen_axiom_ttl.jsonl,19,What scholarly publications mention or are associated with topics about enslaved individuals?,"core_scholar_rich, enslaved",ttl,0_shot,temp0.0,2,"core_scholar_rich, enslaved","core_scholar_rich, enslaved",1,0,0,1.0,0.0,1.0,0.0,1.0
kgmulsel_temp0_nen_axiom_ttl.jsonl,20,Which universities or departments publish work about locations that have both enslaved-population records and hazard details?,"core_scholar_rich, enslaved, kwg",nen,cot,temp0.0,3,"core_scholar_rich, enslaved, kwg","core_scholar_rich, enslaved, kwg",1,0,0,1.0,0.0,1.0,0.0,1.0
kgmulsel_temp0_nen_axiom_ttl.jsonl,21,What learning media resources cover topics related to hazards?,"currkg, kwg",nen,cot,temp0.0,2,"currkg, kwg",currkg,0,1,0,1.0,0.0,0.5,0.5,0.6667
kgmulsel_temp0_nen_axiom_ttl.jsonl,22,"Which cruise events, funding awards, agent roles, organizations, datasets, samples, publications, authors, departments, universities, and publication dates are connected through shared scientific participation?","core_scholar_rich, gmo",axiom,cot,temp0.0,2,"core_scholar_rich, gmo","core_scholar_rich, gmo",1,0,0,1.0,0.0,1.0,0.0,1.0
kgmulsel_temp0_nen_axiom_ttl.jsonl,23,"Which cruises or expeditions collected samples in places with climate, flood, storm, fire, or earthquake attributes?","gmo, kwg",nen,cot,temp0.0,2,"gmo, kwg","gmo, kwg",1,0,0,1.0,0.0,1.0,0.0,1.0
kgmulsel_temp0_nen_axiom_ttl.jsonl,24,Which learning paths include modules about topics represented in publications by people or organizations involved in cruises?,"core_scholar_rich, currkg, gmo",nen,0_shot,temp0.0,3,"core_scholar_rich, currkg, gmo","currkg, gmo",0,1,0,1.0,0.0,0.6667,0.3333,0.8
kgmulsel_temp0_nen_axiom_ttl.jsonl,25,"Which scholarly publications and curriculum resources cover historical topics that align with enslaved-person records by demographic category, event type, participant role, place, and period?","core_scholar_rich, currkg, enslaved",ttl,0_shot,temp0.0,3,"core_scholar_rich, currkg, enslaved","currkg, enslaved",0,1,0,1.0,0.0,0.6667,0.3333,0.8
kgmulsel_temp0_nen_axiom_ttl.jsonl,26,"Which authors, departments, universities, cruise participants, vessels, organizations, samples, hazard events, places, and time periods are connected through marine research in hazard-affected regions?","core_scholar_rich, gmo, kwg",axiom,cot,temp0.0,3,"core_scholar_rich, gmo, kwg","core_scholar_rich, gmo, kwg",1,0,0,1.0,0.0,1.0,0.0,1.0
kgmulsel_temp0_nen_axiom_ttl.jsonl,27,Which scholarly publications study places or periods where enslaved individuals are recorded and where hazard events also occurred?,"core_scholar_rich, enslaved, kwg",axiom,cot,temp0.0,3,"core_scholar_rich, enslaved, kwg","core_scholar_rich, enslaved, kwg",1,0,0,1.0,0.0,1.0,0.0,1.0
kgmulsel_temp0_nen_axiom_ttl.jsonl,28,"Which cruises involved people or organizations that also appear in scholarly publications by publication type, field of study, or date?","core_scholar_rich, gmo",ttl,0_shot,temp0.0,2,"core_scholar_rich, gmo","core_scholar_rich, gmo",1,0,0,1.0,0.0,1.0,0.0,1.0
kgmulsel_temp0_nen_axiom_ttl.jsonl,29,Which authors or contributors are associated with both educational media and scholarly publications about oceanographic cruise topics?,"core_scholar_rich, currkg, gmo",ttl,cot,temp0.0,3,"core_scholar_rich, currkg, gmo","core_scholar_rich, currkg",0,1,0,1.0,0.0,0.6667,0.3333,0.8
kgmulsel_temp0_nen_axiom_ttl.jsonl,30,Which scholarly fields of study are represented by publications from people who participated in cruises that collected samples or produced datasets?,"core_scholar_rich, gmo",axiom,0_shot,temp0.0,2,"core_scholar_rich, gmo","core_scholar_rich, gmo",1,0,0,1.0,0.0,1.0,0.0,1.0
kgmulsel_temp0_nen_axiom_ttl.jsonl,31,Which learning modules and scholarly publications cover topics linked to enslaved-person records by place or time period?,"core_scholar_rich, currkg, enslaved",axiom,0_shot,temp0.0,3,"core_scholar_rich, currkg, enslaved","currkg, enslaved",0,1,0,1.0,0.0,0.6667,0.3333,0.8
kgmulsel_temp0_nen_axiom_ttl.jsonl,32,"Which curriculum paths and publication networks connect learner personas, media authors, publication authors, departments, universities, cruise participants, agent roles, vessels, sponsoring organizations, datasets, samples, places, and time periods?","core_scholar_rich, currkg, gmo",axiom,cot,temp0.0,3,"core_scholar_rich, currkg, gmo","core_scholar_rich, currkg, gmo",1,0,0,1.0,0.0,1.0,0.0,1.0
kgmulsel_temp0_nen_axiom_ttl.jsonl,33,"Which universities or departments produce publications about locations where enslaved individuals are recorded, and how do those publications relate to time periods and event types?","core_scholar_rich, enslaved",axiom,cot,temp0.0,2,"core_scholar_rich, enslaved","core_scholar_rich, enslaved",1,0,0,1.0,0.0,1.0,0.0,1.0
kgmulsel_temp0_nen_axiom_ttl.jsonl,34,"Which organizations or people participated in cruises that collected samples in hazard-affected regions, and what hazard details, damage observations, or climate attributes are linked to those regions?","gmo, kwg",nen,0_shot,temp0.0,2,"gmo, kwg","gmo, kwg",1,0,0,1.0,0.0,1.0,0.0,1.0
kgmulsel_temp0_nen_axiom_ttl.jsonl,35,"Which scholarly publications, authors, departments, fields of study, and submission or publication dates align with enslaved-person records by location, demographic category, occupation, relationship, and historical period?","core_scholar_rich, enslaved",axiom,0_shot,temp0.0,2,"core_scholar_rich, enslaved","core_scholar_rich, enslaved",1,0,0,1.0,0.0,1.0,0.0,1.0
kgmulsel_temp0_nen_axiom_ttl.jsonl,36,"What publication fields of study are related to enslaved individuals, historical events, occupations, or family relationships?","core_scholar_rich, enslaved",ttl,cot,temp0.0,2,"core_scholar_rich, enslaved","core_scholar_rich, enslaved",1,0,0,1.0,0.0,1.0,0.0,1.0
kgmulsel_temp0_nen_axiom_ttl.jsonl,37,"Which authors, advisors, departments, or universities are linked to publications about places and periods represented in enslaved-person records?","core_scholar_rich, enslaved",ttl,cot,temp0.0,2,"core_scholar_rich, enslaved","core_scholar_rich, enslaved",1,0,0,1.0,0.0,1.0,0.0,1.0
kgmulsel_temp0_nen_axiom_ttl.jsonl,38,"Which personas, learning paths, modules, media resources, topics, authors, publications, departments, hazard events, places, and temporal scopes are connected through hazard-related subject matter?","core_scholar_rich, currkg, kwg",ttl,cot,temp0.0,3,"core_scholar_rich, currkg, kwg","core_scholar_rich, currkg, kwg",1,0,0,1.0,0.0,1.0,0.0,1.0
kgmulsel_temp0_nen_axiom_ttl.jsonl,39,What scholarly publications are associated with topics about cruises in hazard-affected regions?,"core_scholar_rich, gmo, kwg",axiom,0_shot,temp0.0,3,"core_scholar_rich, gmo, kwg",core_scholar_rich,0,1,0,1.0,0.0,0.3333,0.6667,0.5
kgmulsel_temp0_nen_axiom_ttl.jsonl,40,What scholarly publications are associated with places where enslaved individuals and hazard events are both recorded?,"core_scholar_rich, enslaved, kwg",axiom,cot,temp0.0,3,"core_scholar_rich, enslaved, kwg","core_scholar_rich, enslaved, kwg",1,0,0,1.0,0.0,1.0,0.0,1.0
kgmulsel_temp0_nen_axiom_ttl.jsonl,41,What learning media resources and scholarly publications cover hazard-related topics?,"core_scholar_rich, currkg, kwg",axiom,cot,temp0.0,3,"core_scholar_rich, currkg, kwg","core_scholar_rich, currkg, kwg",1,0,0,1.0,0.0,1.0,0.0,1.0
kgmulsel_temp0_nen_axiom_ttl.jsonl,42,"Which personas are linked to learning paths that include oceanographic cruise, vessel, sampling, or dataset topics?","currkg, gmo",ttl,cot,temp0.0,2,"currkg, gmo","currkg, gmo",1,0,0,1.0,0.0,1.0,0.0,1.0
kgmulsel_temp0_nen_axiom_ttl.jsonl,43,Which enslaved-person locations have both demographic details and hazard damage details within matching temporal ranges?,"enslaved, kwg",nen,0_shot,temp0.0,2,"enslaved, kwg","enslaved, kwg",1,0,0,1.0,0.0,1.0,0.0,1.0
kgmulsel_temp0_nen_axiom_ttl.jsonl,44,Which learning paths include modules whose topics match fields of study with publications from universities in specific cities or states?,"core_scholar_rich, currkg",nen,0_shot,temp0.0,2,"core_scholar_rich, currkg","core_scholar_rich, currkg",1,0,0,1.0,0.0,1.0,0.0,1.0
kgmulsel_temp0_nen_axiom_ttl.jsonl,45,"Which geographical places associated with enslaved individuals also experienced hazards during overlapping time periods, and what were the hazard types and recorded enslaved populations?","enslaved, kwg",nen,0_shot,temp0.0,2,"enslaved, kwg","enslaved, kwg",1,0,0,1.0,0.0,1.0,0.0,1.0
kgmulsel_temp0_nen_axiom_ttl.jsonl,46,"For each region, how do cruise trajectories, sample locations, hazard geometries, and hazard temporal scopes overlap?","gmo, kwg",nen,cot,temp0.0,2,"gmo, kwg","gmo, kwg",1,0,0,1.0,0.0,1.0,0.0,1.0
kgmulsel_temp0_nen_axiom_ttl.jsonl,47,What scholarly publications mention or are associated with topics about enslaved individuals?,"core_scholar_rich, enslaved",nen,cot,temp0.0,2,"core_scholar_rich, enslaved","core_scholar_rich, enslaved",1,0,0,1.0,0.0,1.0,0.0,1.0
kgmulsel_temp0_nen_axiom_ttl.jsonl,48,What authors or departments are associated with publications about places connected to enslaved-person records?,"core_scholar_rich, enslaved",ttl,0_shot,temp0.0,2,"core_scholar_rich, enslaved","core_scholar_rich, enslaved",1,0,0,1.0,0.0,1.0,0.0,1.0
kgmulsel_temp0_nen_axiom_ttl.jsonl,49,"What curriculum modules cover topics related to enslaved people, historical events, occupations, family relationships, or locations?","currkg, enslaved",nen,0_shot,temp0.0,2,"currkg, enslaved","currkg, enslaved",1,0,0,1.0,0.0,1.0,0.0,1.0
kgmulsel_temp0_nen_axiom_ttl.jsonl,50,"Which scholarly publications and curriculum resources cover topics associated with cruises conducted by specific vessels, sponsored by specific organizations, or linked to specific datasets and samples?","core_scholar_rich, currkg, gmo",nen,cot,temp0.0,3,"core_scholar_rich, currkg, gmo","core_scholar_rich, currkg, gmo",1,0,0,1.0,0.0,1.0,0.0,1.0
kgmulsel_temp0_nen_axiom_ttl.jsonl,51,"Which curriculum paths and publication networks connect learner personas, media authors, publication authors, departments, universities, cruise participants, agent roles, vessels, sponsoring organizations, datasets, samples, places, and time periods?","core_scholar_rich, currkg, gmo",nen,0_shot,temp0.0,3,"core_scholar_rich, currkg, gmo","core_scholar_rich, currkg, gmo",1,0,0,1.0,0.0,1.0,0.0,1.0
kgmulsel_temp0_nen_axiom_ttl.jsonl,52,"For each shared place, how do enslaved population records by gender, ethnicity, or age align with hazard events and damage observations over time?","enslaved, kwg",nen,cot,temp0.0,2,"enslaved, kwg","enslaved, kwg",1,0,0,1.0,0.0,1.0,0.0,1.0
kgmulsel_temp0_nen_axiom_ttl.jsonl,53,Which learning modules cover topics that also appear in publications submitted by authors from specific departments?,"core_scholar_rich, currkg",ttl,cot,temp0.0,2,"core_scholar_rich, currkg","core_scholar_rich, currkg",1,0,0,1.0,0.0,1.0,0.0,1.0
kgmulsel_temp0_nen_axiom_ttl.jsonl,54,"Which learning paths and scholarly publication networks connect learner personas, media authors, publication authors, departments, fields of study, enslaved individuals, owners, relatives, occupations, events, places, and temporal extents?","core_scholar_rich, currkg, enslaved",axiom,0_shot,temp0.0,3,"core_scholar_rich, currkg, enslaved","core_scholar_rich, currkg, enslaved",1,0,0,1.0,0.0,1.0,0.0,1.0
kgmulsel_temp0_nen_axiom_ttl.jsonl,55,Which learning modules cover topics that also appear in publications submitted by authors from specific departments?,"core_scholar_rich, currkg",ttl,0_shot,temp0.0,2,"core_scholar_rich, currkg","core_scholar_rich, currkg",1,0,0,1.0,0.0,1.0,0.0,1.0
kgmulsel_temp0_nen_axiom_ttl.jsonl,56,Which learning paths include modules about topics that also appear in publications and hazard-event records?,"core_scholar_rich, currkg, kwg",axiom,0_shot,temp0.0,3,"core_scholar_rich, currkg, kwg","currkg, kwg",0,1,0,1.0,0.0,0.6667,0.3333,0.8
kgmulsel_temp0_nen_axiom_ttl.jsonl,57,"What publications and DOI values correspond to research topics involving enslaved individuals by location, time period, or event type?","core_scholar_rich, enslaved",ttl,0_shot,temp0.0,2,"core_scholar_rich, enslaved","core_scholar_rich, enslaved",1,0,0,1.0,0.0,1.0,0.0,1.0
kgmulsel_temp0_nen_axiom_ttl.jsonl,58,"Which departments or universities are linked to people, organizations, or fields of study connected to oceanographic cruises?","core_scholar_rich, gmo",ttl,0_shot,temp0.0,2,"core_scholar_rich, gmo","core_scholar_rich, gmo",1,0,0,1.0,0.0,1.0,0.0,1.0
kgmulsel_temp0_nen_axiom_ttl.jsonl,59,What curriculum modules reference media resources about oceanographic cruises or sampling?,"currkg, gmo",axiom,cot,temp0.0,2,"currkg, gmo","currkg, gmo",1,0,0,1.0,0.0,1.0,0.0,1.0
kgmulsel_temp0_nen_axiom_ttl.jsonl,60,"Which curriculum paths and publication networks connect learner personas, media authors, publication authors, departments, universities, cruise participants, agent roles, vessels, sponsoring organizations, datasets, samples, places, and time periods?","core_scholar_rich, currkg, gmo",nen,cot,temp0.0,3,"core_scholar_rich, currkg, gmo","core_scholar_rich, currkg, gmo",1,0,0,1.0,0.0,1.0,0.0,1.0
kgmulsel_temp0_nen_axiom_ttl.jsonl,61,Which learning paths include modules about topics represented in publications by people or organizations involved in cruises?,"core_scholar_rich, currkg, gmo",axiom,0_shot,temp0.0,3,"core_scholar_rich, currkg, gmo","core_scholar_rich, currkg, gmo",1,0,0,1.0,0.0,1.0,0.0,1.0
kgmulsel_temp0_nen_axiom_ttl.jsonl,62,Which cruises have temporal information that overlaps with hazard events in the same or nearby places?,"gmo, kwg",ttl,0_shot,temp0.0,2,"gmo, kwg","gmo, kwg",1,0,0,1.0,0.0,1.0,0.0,1.0
kgmulsel_temp0_nen_axiom_ttl.jsonl,63,"Which scholarly publications and curriculum resources cover topics associated with cruises conducted by specific vessels, sponsored by specific organizations, or linked to specific datasets and samples?","core_scholar_rich, currkg, gmo",ttl,cot,temp0.0,3,"core_scholar_rich, currkg, gmo","core_scholar_rich, currkg, gmo",1,0,0,1.0,0.0,1.0,0.0,1.0
kgmulsel_temp0_nen_axiom_ttl.jsonl,64,What curriculum modules reference media resources about oceanographic cruises or sampling?,"currkg, gmo",nen,0_shot,temp0.0,2,"currkg, gmo","currkg, gmo",1,0,0,1.0,0.0,1.0,0.0,1.0
kgmulsel_temp0_nen_axiom_ttl.jsonl,65,"Which scholarly publications align with places and periods where enslaved individuals are recorded by demographic category and where hazards include damage, impact, or climate observations?","core_scholar_rich, enslaved, kwg",axiom,0_shot,temp0.0,3,"core_scholar_rich, enslaved, kwg","core_scholar_rich, enslaved, kwg",1,0,0,1.0,0.0,1.0,0.0,1.0
kgmulsel_temp0_nen_axiom_ttl.jsonl,66,"Which learning resources and scholarly publications are associated with oceanographic cruises, vessels, organizations, samples, or research topics?","core_scholar_rich, currkg, gmo",ttl,0_shot,temp0.0,3,"core_scholar_rich, currkg, gmo","core_scholar_rich, currkg, gmo",1,0,0,1.0,0.0,1.0,0.0,1.0
kgmulsel_temp0_nen_axiom_ttl.jsonl,67,"Which learning modules reference media resources about topics connected to enslaved-person locations, ages, genders, occupations, relationships, or historical periods?","currkg, enslaved",nen,cot,temp0.0,2,"currkg, enslaved","currkg, enslaved",1,0,0,1.0,0.0,1.0,0.0,1.0
kgmulsel_temp0_nen_axiom_ttl.jsonl,68,"Which curriculum paths connect learner personas to media resources and scholarly publications about hazard events, including authors, fields of study, places, temporal intervals, impact observations, damage details, and health or demographic attributes?","core_scholar_rich, currkg, kwg",axiom,cot,temp0.0,3,"core_scholar_rich, currkg, kwg","core_scholar_rich, currkg, kwg",1,0,0,1.0,0.0,1.0,0.0,1.0
kgmulsel_temp0_nen_axiom_ttl.jsonl,69,Which places associated with enslaved individuals experienced hazards during the same century as the enslaved-person records?,"enslaved, kwg",ttl,0_shot,temp0.0,2,"enslaved, kwg","enslaved, kwg",1,0,0,1.0,0.0,1.0,0.0,1.0
kgmulsel_temp0_nen_axiom_ttl.jsonl,70,"What curriculum modules cover topics related to enslaved people, historical events, occupations, family relationships, or locations?","currkg, enslaved",axiom,cot,temp0.0,2,"currkg, enslaved","currkg, enslaved",1,0,0,1.0,0.0,1.0,0.0,1.0
kgmulsel_temp0_nen_axiom_ttl.jsonl,71,"Which personas are associated with learning paths that include modules about enslaved individuals, historical events, or demographic records?","currkg, enslaved",axiom,0_shot,temp0.0,2,"currkg, enslaved","currkg, enslaved",1,0,0,1.0,0.0,1.0,0.0,1.0
kgmulsel_temp0_nen_axiom_ttl.jsonl,72,"What publications and DOI values correspond to research topics involving enslaved individuals by location, time period, or event type?","core_scholar_rich, enslaved",axiom,0_shot,temp0.0,2,"core_scholar_rich, enslaved","core_scholar_rich, enslaved",1,0,0,1.0,0.0,1.0,0.0,1.0
kgmulsel_temp0_nen_axiom_ttl.jsonl,73,What learning media resources cover topics related to enslaved individuals or historical slavery?,"currkg, enslaved",ttl,0_shot,temp0.0,2,"currkg, enslaved","currkg, enslaved",1,0,0,1.0,0.0,1.0,0.0,1.0
kgmulsel_temp0_nen_axiom_ttl.jsonl,74,Which publications are associated with authors or contributors who also participated in cruises or expeditions?,"core_scholar_rich, gmo",nen,cot,temp0.0,2,"core_scholar_rich, gmo","core_scholar_rich, gmo",1,0,0,1.0,0.0,1.0,0.0,1.0
kgmulsel_temp0_nen_axiom_ttl.jsonl,75,"For each shared place, how do enslaved population records by gender, ethnicity, or age align with hazard events and damage observations over time?","enslaved, kwg",nen,0_shot,temp0.0,2,"enslaved, kwg","enslaved, kwg",1,0,0,1.0,0.0,1.0,0.0,1.0
kgmulsel_temp0_nen_axiom_ttl.jsonl,76,"Which learning modules or media resources cover hazard-related topics, and which hazard events, places, or climate attributes from the KG correspond to those topics?","currkg, kwg",ttl,cot,temp0.0,2,"currkg, kwg","currkg, kwg",1,0,0,1.0,0.0,1.0,0.0,1.0
kgmulsel_temp0_nen_axiom_ttl.jsonl,77,"Which scholarly publications and curriculum resources cover historical topics that align with enslaved-person records by demographic category, event type, participant role, place, and period?","core_scholar_rich, currkg, enslaved",nen,cot,temp0.0,3,"core_scholar_rich, currkg, enslaved","core_scholar_rich, currkg, enslaved",1,0,0,1.0,0.0,1.0,0.0,1.0
kgmulsel_temp0_nen_axiom_ttl.jsonl,78,"Which curriculum paths and publication networks connect learner personas, media authors, publication authors, departments, universities, cruise participants, agent roles, vessels, sponsoring organizations, datasets, samples, places, and time periods?","core_scholar_rich, currkg, gmo",axiom,0_shot,temp0.0,3,"core_scholar_rich, currkg, gmo","core_scholar_rich, currkg, gmo",1,0,0,1.0,0.0,1.0,0.0,1.0
kgmulsel_temp0_nen_axiom_ttl.jsonl,79,"What curriculum topics correspond to fields of study about enslaved-person records, historical events, locations, or occupations?","core_scholar_rich, currkg, enslaved",nen,cot,temp0.0,3,"core_scholar_rich, currkg, enslaved","core_scholar_rich, currkg, enslaved",1,0,0,1.0,0.0,1.0,0.0,1.0
kgmulsel_temp0_nen_axiom_ttl.jsonl,80,Which publications involve authors or departments connected to cruises that occurred in places with recorded hazard events?,"core_scholar_rich, gmo, kwg",ttl,0_shot,temp0.0,3,"core_scholar_rich, gmo, kwg","gmo, kwg",0,1,0,1.0,0.0,0.6667,0.3333,0.8
kgmulsel_temp0_nen_axiom_ttl.jsonl,81,"Which publications are associated with fields of study that match enslaved-person demographic, location, occupation, or event records?","core_scholar_rich, enslaved",ttl,0_shot,temp0.0,2,"core_scholar_rich, enslaved","core_scholar_rich, enslaved",1,0,0,1.0,0.0,1.0,0.0,1.0
kgmulsel_temp0_nen_axiom_ttl.jsonl,82,"For each hazard-affected region, which cruises, vessels, sponsoring organizations, and physical samples are recorded?","gmo, kwg",nen,0_shot,temp0.0,2,"gmo, kwg","gmo, kwg",1,0,0,1.0,0.0,1.0,0.0,1.0
kgmulsel_temp0_nen_axiom_ttl.jsonl,83,"What fields of study correspond to cruises, samples, datasets, and hazard-affected places?","core_scholar_rich, gmo, kwg",ttl,cot,temp0.0,3,"core_scholar_rich, gmo, kwg","core_scholar_rich, gmo, kwg",1,0,0,1.0,0.0,1.0,0.0,1.0
kgmulsel_temp0_nen_axiom_ttl.jsonl,84,"What publications and DOI values correspond to research topics involving enslaved individuals by location, time period, or event type?","core_scholar_rich, enslaved",ttl,cot,temp0.0,2,"core_scholar_rich, enslaved","core_scholar_rich, enslaved",1,0,0,1.0,0.0,1.0,0.0,1.0
kgmulsel_temp0_nen_axiom_ttl.jsonl,85,"For each shared place, how do enslaved population records by gender, ethnicity, or age align with hazard events and damage observations over time?","enslaved, kwg",ttl,0_shot,temp0.0,2,"enslaved, kwg","enslaved, kwg",1,0,0,1.0,0.0,1.0,0.0,1.0
kgmulsel_temp0_nen_axiom_ttl.jsonl,86,"Which curriculum modules reference media resources about hazard types that also have damage observations, impact observations, climate attributes, or demographic attributes for affected places?","currkg, kwg",nen,cot,temp0.0,2,"currkg, kwg","currkg, kwg",1,0,0,1.0,0.0,1.0,0.0,1.0
kgmulsel_temp0_nen_axiom_ttl.jsonl,87,"What hazard types are recorded for regions where cruises, expeditions, samples, or datasets are available?","gmo, kwg",axiom,cot,temp0.0,2,"gmo, kwg","gmo, kwg",1,0,0,1.0,0.0,1.0,0.0,1.0
kgmulsel_temp0_nen_axiom_ttl.jsonl,88,What people are associated with both cruises or expeditions and scholarly publications?,"core_scholar_rich, gmo",ttl,0_shot,temp0.0,2,"core_scholar_rich, gmo","core_scholar_rich, gmo",1,0,0,1.0,0.0,1.0,0.0,1.0
kgmulsel_temp0_nen_axiom_ttl.jsonl,89,"Which scholarly publications describe fields of study related to samples or datasets collected by cruises in places with climate, storm, flood, fire, or earthquake records?","core_scholar_rich, gmo, kwg",ttl,cot,temp0.0,3,"core_scholar_rich, gmo, kwg","core_scholar_rich, gmo, kwg",1,0,0,1.0,0.0,1.0,0.0,1.0
kgmulsel_temp0_nen_axiom_ttl.jsonl,90,Which learning paths include modules about topics that also appear in publications and hazard-event records?,"core_scholar_rich, currkg, kwg",ttl,cot,temp0.0,3,"core_scholar_rich, currkg, kwg","core_scholar_rich, currkg, kwg",1,0,0,1.0,0.0,1.0,0.0,1.0
